player_id,name,nationality,position,birth_year,foot
1,Zlatan Ibrahimović,Suède,ATT,1981,D
2,Edinson Cavani,Uruguay,ATT,1987,D
3,Thiago Silva,Brésil,DEF,1984,D
4,David Beckham,Angleterre,MID,1975,D
5,Maxwell,Brésil,DEF,1981,G
6,Blaise Matuidi,France,MID,1987,D
7,Marco Verratti,Italie,MID,1992,D
8,Marquinhos,Brésil,DEF,1994,D
9,David Luiz,Brésil,DEF,1987,D
10,Serge Aurier,Côte d'Ivoire,DEF,1992,D
11,Neymar Jr,Brésil,ATT,1992,D
12,Kylian Mbappé,France,ATT,1998,D
13,Lionel Messi,Argentine,ATT,1987,D
14,Ángel Di María,Argentine,MID,1988,D
15,Mauro Icardi,Argentine,ATT,1993,D
16,Leandro Paredes,Argentine,MID,1994,D
17,Keylor Navas,Costa Rica,GK,1986,D
18,Achraf Hakimi,Maroc,DEF,1998,D
19,Presnel Kimpembe,France,DEF,1995,D
20,Idrissa Gueye,Sénégal,MID,1989,D
21,Ousmane Dembélé,France,ATT,1997,D
22,Bradley Barcola,France,ATT,2002,G
23,Vitinha,Portugal,MID,2000,D
24,Warren Zaïre-Emery,France,MID,2006,D
25,Gianluigi Donnarumma,Italie,GK,1999,D
26,Fabián Ruiz,Espagne,MID,1996,D
27,Nuno Mendes,Portugal,DEF,2002,G
28,Gonçalo Ramos,Portugal,ATT,2001,D
29,João Neves,Portugal,MID,2004,D
30,Willian Pacho,Équateur,DEF,2001,D
31,Désiré Doué,France,ATT,2005,D
32,Khvicha Kvaratskhelia,Géorgie,ATT,2001,G
33,Illia Zabarnyi,Ukraine,DEF,2002,D
34,Lucas Chevalier,France,GK,2001,D
35,Matvey Safonov,Russie,GK,1999,D
