season_id,label,ligue1_rank,ucl_stage,top_scorer,goals_scored
1,2011-12,2,Huitièmes,Ibrahimović,68
2,2012-13,1,Quarts,Ibrahimović,69
3,2013-14,1,Quarts,Ibrahimović,84
4,2014-15,1,Quarts,Ibrahimović,72
5,2015-16,1,Quarts,Ibrahimović,75
6,2016-17,1,Huitièmes,Cavani,83
7,2017-18,1,Huitièmes,Cavani,108
8,2018-19,1,Huitièmes,Mbappé,105
9,2019-20,1,Finale LDC,Neymar,75
10,2020-21,2,Demi-finales,Mbappé,86
11,2021-22,1,Huitièmes,Mbappé,90
12,2022-23,1,Huitièmes,Mbappé,89
13,2023-24,2,Demi-finales,Mbappé,78
14,2024-25,1,Demi-finales,Dembélé,82
